Tanggal,Tweet,Username,Likes,Replies,Retweets,Sentiment
2022-12-31 18:51:16+00:00,kontakbri bankbri_id promo_bri bank bumn pelayanan super duper leletnyapengaduan keluhan nasabah pengemis bin gelandangankomplen 2hari 2malam beru responjauh bank swasta nasabah prioritaskanmakan gaji buta,RaffaDwiputtra,0,1,0,positif
2022-12-29 04:47:45+00:00,bankbri_id spallpilllll min saran gak kalo lho kalo pelayanan c teller pa jam istirahat tetep jalan donk masak iya tetep nunggu pegawai istirahat time is money lho min,KiKYyy,1,4,0,netral
2022-12-27 07:43:58+00:00,gandeng bank bri rutan 1 medan maksimalkan pelayanan bangun program kerja manusia mandiri httpstco0glnbhi0ay,rutan1medan,0,0,0,netral
2022-12-26 10:38:50+00:00,poetra1804 informasikan jam operasional bank bri jam pelayanan ka 0830 1500 jam pelayanan nasabah 0800 1600 sobat bri dilayani jam operasional 1,BANKBRI_ID,1,1,0,netral
2022-12-26 07:07:18+00:00,kontakbri siangsiang darah c bri unit buludoang sop pelayanan bank bri yah intonasi nasabah yg masuk ruangan kepala unit approve atm aktivasi layanan brimo tunggu besok kecewa dgn c nya,AsbudiAswan,3,13,0,netral
2022-12-26 04:30:17+00:00,berdasarkan pengalaman pelayanan bank jelek bank bri bca mandiri bni,tutilyly20,0,0,0,netral
2022-12-26 02:37:02+00:00,sweecado hai sobat bri informasikan bri beroperasional normal senin 26 desember 2022 jam operasional bri 07301630 wib rincian 1 pelayanan ka 08001500 wib 2 pelayanan nasabah 08001600 wib 1,BANKBRI_ID,0,0,0,positif
2022-12-25 22:40:19+00:00,ariyadira hai sobat bri informasikan bank bri beroperasional ya jam operasional bri 07301630 wib rincian 1 pelayanan ka 08001500 wib 2 pelayanan nasabah 08001600 wib 1,BANKBRI_ID,0,0,0,netral
2022-12-23 02:33:31+00:00,paleomjlnicus kontakbri hai sobat bri mohon maaf ketidaknyamanan dialami antrean kantor bri sesuai kebijakan kantor bri dimengunjungi pelayanan customer service sesuai transaksi nasabah tindak 1,BANKBRI_ID,0,1,0,netral
2022-12-23 02:31:27+00:00,kontakbri hai bankbri_id kontakbri yah pelayanan c kantor bank bri sesuai antrian panggil duluan ambil nomer antrian terimakasih mohon klarifikasinya,Petrichor1945,1,4,0,netral
2022-12-22 04:49:16+00:00,aris_hamzah hai sobat bri bank bri senantiasa berupaya berkomitmen meningkatkan pelayanan sistem keamanan bertransaksi kenyamanan kepuasan nasabah informasikan saldo berkurang transaksi pendebetan otomatis 1,BANKBRI_ID,0,0,0,netral
2022-12-21 09:47:34+00:00,siomdragon silakan informasikan detail kendala terkait pelayanan bank bri dm ya sobat bri waspada akun resmi medsos bri terverified channel private resmi bri whatsapp nomor 08121214017 tkspriska,BANKBRI_ID,0,0,0,netral
2022-12-21 08:58:08+00:00,worksfess kalo perihal sisahin saldo atm bca 0 rupiah pelayanan dibank nya suka bca dibanding bank btnbnibrimandiri yg kunjungi satset sepengalamanku,nadahitam99,1,1,0,netral
2022-12-21 08:39:28+00:00,jellysquashh ragil_bontot hai sobat bri terima kasih saran masukan manjadi perhatian pelayanan tindak mohon diinformasikan alamat kantor bri dikunjungi dm 1,BANKBRI_ID,0,0,0,netral
2022-12-21 07:53:54+00:00,bankbri_id tolong c unit arjawinangun meja 2 petugas 1 antrian jam 1450 no 13 lelet pelayanan 1 nasabah 30 menit httpstcogyk9blu32v,TeguhRi79568076,0,1,0,netral
2022-12-21 02:05:46+00:00,diggledee hai sobat bri mohon maaf ketidaknyamanannya meningkatkan pelayanan silakan informasikan nama kantor bri dikunjungi dm akun resmi medsos bri verified channel private resmi bri whatsapp nomor 08121214017 tksdebi,BANKBRI_ID,0,0,0,netral
2022-12-21 01:57:06+00:00,pelayanan cust service bankbri_id lambat kondisi gak rame 1 cust lbh dr 15menit 2 counter 1 counter yg pelayanan,diggledee,1,5,0,netral
2022-12-20 15:51:47+00:00,carireceh hai sobat bri terima kasih saran perihal evaluasi meningkatkan kualitas pelayanan bank bri depannya himbau berhatihati akun palsu indikasi penipuan 1,kontakBRI,0,0,0,netral
2022-12-20 06:55:51+00:00,anggota polsek bojongsari aiptu adi melaksanakan pelayanan masyarakat nasabah bank bri polrespurbalingga humaspolrespurbalingga polisi_indonesia polisirepublikindonesia polisiindonesia httpstcoik3kacik8n,HBojongsari,2,0,0,netral
2022-12-20 06:49:04+00:00,pergi bank bayar pendaftaran kuliah tujuan utama bri krn emng aksesnya yg first pelayanan bgt dr 1 teller yg jaga dlm 1½ jam dpt melayani 5 cust no antreanku dipanggil sayang bgt udh nunggu kode bayarku ktanya not found,yyagitudeh,0,2,0,positif
2022-12-20 06:28:57+00:00,3 teller salah bank bumn udeh didatengin info gak pelayanan karna istirahat gua bela belain bank dijam istirahat karna sempet nya bank dijam istirahat hmm bankbri_id makasih pelayanannya,nurulchas_,2,5,0,netral
2022-12-20 04:26:28+00:00,bankbri_id selamat ultah smoga pelayanan smakin hadiah,m0c0bain,0,0,0,netral
2022-12-20 03:35:52+00:00,bankbri_id pelayanan c yaa tolong yaa upgrade kualitasnya,aliframdhanalif,3,13,0,netral
2022-12-20 01:35:53+00:00,teriring doa semoga bank bri maju memverikan inovaso pelayanan semakon aktif memajukan perekonomian negara masyarakat indonesia bank bri tumbuh tangguh,kejaribatu,0,0,0,netral
2022-12-19 12:14:43+00:00,smkfess kantor pelayanan pajak nder yg kantor po bkk bmt binamas bri bank jateng ramayana matahari,ksjmyluff,0,0,0,netral
2022-12-19 02:38:31+00:00,sy tarik tunai bri cab meles adimulyo kebumen fotocopy ktp disuruh cari fotocopianpadahal kl bank pelayanan pelayanan bri bankbri_id kemenbumn erickthohir,Yanuyan54912242,0,6,0,netral
2022-12-18 13:31:57+00:00,bankbri_id bri tumbuh tanggutapi pelayanan tdk sesuaicoba lihat aja kota,jamil_rar,0,0,0,netral
2022-12-18 13:30:10+00:00,bankbri_id pelayanan memuaskan pelanggan bank yg lewatkan pelayananyacek kota,jamil_rar,0,0,0,netral
2022-12-18 04:54:28+00:00,bankbri_id selamat hut bank bri bankbri_id semangat pelayanan terbaik masyarakat,MickHolloway3,0,0,0,netral
2022-12-18 03:19:23+00:00,sebataspenyimak perihal sarankan pengecekan mutasi rekening terkait pendebetan pinjaman mengunjungi kantor bri pemberi pinjaman ya terima kasih saran masukkan perbaikan pelayanan 1,BANKBRI_ID,0,0,0,netral
2022-12-18 03:17:41+00:00,bankbri_id pelayanan bri mash area jepara sya lapor perubahan,Tiyonsh_18,0,1,0,netral
2022-12-18 03:00:45+00:00,bankbri_id aja disuruh bri terdekat dm uda pelayanan bri gk maksimal dikantor² cabang tau bri kec tanjung kemuning direkturnya dipecat gara² pelayanan gk maksimalsampai skr pegawainya samakadang uda antri lamagk hasil,gay_bkl,0,0,0,netral
2022-12-18 00:45:14+00:00,jhons_manurung bankbri_id kontakbri udah beralih peron bank loh krn bri kesini buruk pelayanan mengganti kartu atm disable,MyDisability_,0,1,0,netral
